id,SIREN,ANNEE_CREATION,target_delta_1st_round,NAME,TAGLINE,ZIPCODE,HQ REGION,HQ COUNTRY,HQ CITY,TEAM (EDITORIAL),target_total_funding,fundoing_new,LAST FUNDING,LAST FUNDING DATE,FIRST FUNDING DATE,B2B/B2C,REVENUE MODEL,10_launch_year,11_industry_simplified,INDUSTRIES,SUB INDUSTRIES,DELIVERY METHOD,GROWTH STAGE,VALUATION (EUR),VALUATION DATE,target_rounds,FOUNDERS,0_founders_number,6_was_1_change_founders,FOUNDERS STATUSES,5_has_female,5_bis_mixte?,FOUNDERS GENDERS,FOUNDERS ACADEMIC BACKGROUND,FOUNDERS YEARS OF EDUCATION,4_phd_founder,FOUNDERS HAS A PHD,7_MBA,FOUNDERS HAS A MBA,FOUNDERS HIGHEST DEGREE YEAR,FOUNDERS UNIVERSITIES,FOUNDERS COMPANY EXPERIENCE,FOUNDERS LINKEDIN,FOUNDERS - TOP 25 PAST FOUNDERS,FOUNDERS - TOP 25 UNIVERSITIES,FOUNDERS EXPERIENCE,FOUNDERS FOUNDED COMPANIES TOTAL FUNDING,FOUNDERS IS SERIAL,3_one_founder_serial,3_one_founder_was_serial_at_creation,IS FOUNDERS FIRST COMPANY,LISTS,PRIVATE LISTS,COMPANY STATUS,ALL TAGS,FOUNDERS ESTIMATED AGE,FOUNDERS POSITION,CEO,CEO SINCE,2_ceo_profile,8_age_moyen,CEO ESTIMATED AGE,CEO ACADEMIC BACKGROUND,1_ceo_serial,NUMBER OF ALUMNI FOUNDERS THAT RAISED > 10M,NUMBER OF ALUMNI EUROPEAN FOUNDERS THAT RAISED > 10M,TECHNOLOGIES
,837539923,3/2/2018,#NUM!,EMVISTA,,,,,,,,,,,,,,,,,,,,,,,Philippe Garnier;Jean Bort,2,0,current;current,0,0,male;male,engineer;university,5;5+,0,no;no,0,no;no,1993;2002,SUPINFO;Université de Montpellier,corporate;corporate,https://www.linkedin.com/in/philippegarnier/;https://www.linkedin.com/in/jeanbort/,,,25;9,,no;yes,1,1,yes;no,50;45,CEO;CTO,Philippe Garnier,2018,50;45,CEO;CTO,Philippe Garnier,2018,business,50,50,SUPINFO,0,,,
,832804926,14/9/2017,#NUM!,ENDOTACT,,,,,,,,,,,,,,,,,,,,,,,Eric Chevalier,1,0,current,0,0,male,university,8+,1,yes,0,no,#N/A,ENS Paris,mixte,#N/A,,,#N/A,,yes,1,1,no,53,CEO,Eric Chevalier,2017,53,CEO,Eric Chevalier,2017,mixte,53,53,ENS Paris,1,,,
,838969541,5/3/2018,#NUM!,ENERGO,,,,,,,,,,,,,,,,,,,,,,,Vincent Piepiora,1,0,current,0,0,male,engineer,5+,0,no,0,no,2008,École nationale supérieure de Chimie de Paris,corporate,https://www.linkedin.com/in/vincent-piepiora-554ba251/,,,9,,no,0,0,yes,35,founder,Vincent Simonneau,2020,35,founder,Vincent Simonneau,2020,business,42,42,IFP School,0,,,
,753526490,16/8/2012,#NUM!,ENERTECS,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,750495640,1/3/2012,#NUM!,EPIGEX,,,,,,,,,,,,,,,,,,,,,,,Samia Hamiche,1,0,current,1,1,female,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,51,CEO,Samia Hamiche,2018,51,CEO,Samia Hamiche,2018,#N/A,51,51,#N/A,#N/A,,,
,821069119,radiée,#VALUE!,EPIREMED,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,827599226,23/1/2017,#NUM!,ESTHESIX,,,,,,,,,,,,,,,,,,,,,,,Arnaud Lenglet,1,0,current,0,0,male,engineer,5,0,no,0,no,2013,SUPINFO,start-up,https://www.linkedin.com/i#N/Arnlen/,,,4,,yes,1,1,no,31,CEO,Arnaud Lenglet,2017,31,CEO,Arnaud Lenglet,2017,business,31,31,SUPINFO,1,,,
,820536803,19/5/2016,#NUM!,EVERIMMUNE,,,,,,,,,,,,,,,,,,,,,,,Valérie Zitvogel,1,0,current,1,1,female,university,#N/A,0,no,0,no,1986,University of San Francisco,corporate,https://www.linkedin.com/in/val%C3%A9rie-zitvogel-45b44429/,,,30,,no,0,0,yes,55,CEO,Valérie Zitvogel,2017,55,CEO,Valérie Zitvogel,2017,business,55,55,University of San Francisco,0,,,
,825314628,1/2/2017,#NUM!,EXONEO,,,,,,,,,,,,,,,,,,,,,,,Guillaume Moguez,1,0,current,0,0,male,other,3,0,no,0,no,2011,Strate Collège,corporate,https://www.linkedin.com/in/guillaume-moguez-90870a43/,,,6,,no,0,0,yes,31,CEO,Guillaume Moguez,2017,31,CEO,Guillaume Moguez,2017,business,31,31,Strate Collège,0,,,
,797494499,24/9/2013,#NUM!,INEXIOS,,,,,,,,,,,,,,,,,,,,,,,Nicolas Fauquet,1,0,current,0,0,male,university,8+,1,yes,0,no,2009,Université Paris Descartes,corporate,https://www.linkedin.com/in/nicolas-fauquet/,,,9,,yes,1,1,no,35,CEO,Nicolas Fauquet,2013,35,CEO,Nicolas Fauquet,2013,business,35,35,Université Paris Descartes,1,,,
,851734236,10/6/2019,#NUM!,FINX,,,,,,,,,,,,,,,,,,,,,,,Harold Guillemin,1,0,current,0,0,male,mixte,5+,0,no,0,no,2019,ESSEC Business School,corporate,https://www.linkedin.com/in/harold-guillemin/,,,7,,no,0,0,yes,30,CEO,Harold Guillemin,2019,30,CEO,Harold Guillemin,2019,business,30,30,ESSEC Business School,0,,,
,505187682,radiée,#VALUE!,FLOGENTEC,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,793845314,7/6/2013,#NUM!,GENE ET GREEN TK,,,,,,,,,,,,,,,,,,,,,,,Claude Escarguel,1,1,past,0,0,male,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.linkedin.com/in/claude-escarguel-3b1b6668/?originalSubdomain=fr,,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,CEO,David Daudé,2020,#N/A,CEO,David Daudé,2020,mixte,36,36,Université Aix-Marseille,0,,,
,534620968,1/9/2011,#NUM!,YUMAIN,,,,,,,,,,,,,,,,,,,,,,,Xavier Bruneau,1,0,current,0,0,male,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.linkedin.com/in/xavier-bruneau-544832121/,,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,CEO,Marc Benoit,2018,#N/A,CEO,Marc Benoit,2018,business,58,58,EM Lyon Business School,0,,,
,842237786,29/8/2018,#NUM!,GREEN SPOT TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,Ninna Granucci;Silas Villas-Boas,2,1,current;past,1,2,female;male,university;university,8+;8+,1,yes;yes,0,no;no,2017;2004,University of Auckland;Technical University of Denmark,start-up;mixte,https://www.linkedin.com/in/ninna-granucci-371b16a1/;https://www.linkedin.com/in/silas-villas-boas-bb148b8/,,,2;10,,no;no,0,0,yes;yes,35;50,CSO;CEO,Ninna Granucci,2021,35;50,CSO;CEO,Ninna Granucci,2021,business,35,35,University of Auckland,0,,,
,820173292,9/5/2016,#NUM!,GREEN SHIELD TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Plonquet;François Feugier,2,0,current;current,0,0,male;male,engineer;mixte,5;8+,1,no;yes,0,no;no,1985;#N/A,INSA Lyon;#N/A,corporate;#N/A,https://www.linkedin.com/in/jpplonquet/;#N/A,,,29;#N/A,,no;#N/A,0,0,yes;#N/A,66;47,CEO;co-founder,Jean-Pierre Plonquet,2018,66;47,CEO;co-founder,Jean-Pierre Plonquet,2018,business,66,66,INSA Lyon,0,,,
,792770570,16/4/2013,#NUM!,GREEN-TECH ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,Ludwig Czelecz,1,0,current,0,0,male,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,37,CEO,Ludwig Czelecz,2013,37,CEO,Ludwig Czelecz,2013,#N/A,37,37,#N/A,#N/A,,,
