,mean,std,ci_lower,ci_upper
const,-0.8330536111836323,0.5470873787141572,-1.8990879442055584,0.2347832909980471
0_founders_number,0.42644962270443754,0.14559246235404327,0.14390638302895334,0.7125694315947437
8_age_moyen,0.015170784587686257,0.01026393933750476,-0.005312565836014834,0.03508920954148857
5_has_female,-0.7541367855016264,0.3607191830924838,-1.4754798602828516,-0.05344800660445862
4_phd_founder,-0.023569482289675283,0.20567619157315062,-0.4249053469391444,0.38949627971296275
7_MBA,1.2362331625495344,0.21428949893529045,0.8178160008303706,1.6631343013924438
3_one_founder_serial,-0.2607622294366158,0.2274720470652986,-0.6894194158165023,0.17889336248257534
6_was_1_change_founders,0.3309083528059266,0.4043838094518433,-0.47853316306404575,1.1194771783998765
2_ceo_profile_engineer,-0.35210601627419225,0.3327243367527876,-1.0257529465417792,0.28514781434212305
2_ceo_profile_mixte,0.5361041258713702,0.21356468033970707,0.13323000320373588,0.9660490572310311
2_ceo_profile_scientific,1.0177742424619962,0.3090467659898912,0.41019431784668625,1.6070512335108282
2_ceo_profile_university,-0.6456444856684638,0.3366832484110461,-1.31684028844038,0.04068520895294814
B2B/B2C_business;consumer,-0.8697850858814796,0.5494233490396578,-1.9055638536896038,0.22530197154533527
B2B/B2C_consumer,-0.0930534717885474,0.3579201347935343,-0.8203286435356448,0.6027063949698801
