,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.49434174231081185,0.4206894766551975,1.1750751319980859,0.23996465870879102,-0.3301944806083791,1.3188779652300027
0_founders_number,0.05958740026915325,0.11122484827267932,0.5357382023400789,0.592139497184949,-0.1584092965312303,0.2775840970695368
8_age_moyen,0.0005294617284437217,0.007841170334156952,0.06752330403247733,0.9461651104250262,-0.014838949723147804,0.015897873180035247
5_has_female,-0.25049292598020484,0.2282450167913701,-1.0974738003115778,0.2724343276309732,-0.6978449385420301,0.19685908658162043
4_phd_founder,0.015009819952203277,0.15585821204885691,0.09630432528956603,0.9232788759722513,-0.29046666235836294,0.32048630226276953
7_MBA,0.4265056394166916,0.17246405408735568,2.4730117917827674,0.013397972219846052,0.08848230477770658,0.7645289740556767
3_one_founder_serial,-0.051881875045246634,0.16933092538075198,-0.30639338283061257,0.7593051459935274,-0.3837643902603598,0.2800006401698666
6_was_1_change_founders,0.15677301586434647,0.2824461414940527,0.5550545496393249,0.5788573492985118,-0.39681124903630105,0.7103572807649939
2_ceo_profile_engineer,0.006804405720126829,0.20087857992730918,0.0338732269144331,0.9729782427596408,-0.3869103762029498,0.40051918764320343
2_ceo_profile_mixte,0.05613721492124419,0.199138842048435,0.28189987620592055,0.7780202844611042,-0.3341677434166989,0.4464421732591873
2_ceo_profile_scientific,0.1266061461228457,0.23185535348051073,0.5460566004721903,0.5850270310516499,-0.3278219963217588,0.5810342885674502
2_ceo_profile_university,-0.02430289488231318,0.43767626449811403,-0.055527102686688874,0.9557185384320332,-0.8821326101866434,0.833526820422017
B2B/B2C_business;consumer,0.21471319079321538,0.359736305189294,0.5968627233223871,0.5505990367097889,-0.4903570113093102,0.919783392895741
B2B/B2C_consumer,0.030576552591134492,0.22923647387310392,0.13338432612630588,0.8938894405815968,-0.41871868014310626,0.4798717853253753
