,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,2.5814132321662644,0.36960466613303466,6.984254985669246,2.8637153911859083e-12,1.8570013980275655,3.3058250663049633
0_founders_number,-0.20432064476365636,0.10540123793919041,-1.9385032733821963,0.052561851843833295,-0.41090327505040636,0.002261985523093618
8_age_moyen,0.014498001201496972,0.007079848813665649,2.047784011081236,0.04058116770019406,0.0006217525107236714,0.028374249892270272
5_has_female,0.2287848134501862,0.19456999185542198,1.175848399172407,0.2396554618685327,-0.1525653630586925,0.6101349899590649
4_phd_founder,-0.04743532289735772,0.14016864780916455,-0.33841606977574257,0.7350496658566732,-0.3221608243649994,0.22729017857028397
7_MBA,-0.33283813343633406,0.17617679614765733,-1.8892279841289412,0.0588612865211249,-0.6781383087973973,0.012462041924729217
3_one_founder_serial,0.05720734938039984,0.1552968160632389,0.36837425795712553,0.7125941891935119,-0.2471688170172897,0.3615835157780894
6_was_1_change_founders,-0.25384590871400187,0.26238275048313575,-0.9674641654094461,0.33331204681774795,-0.7681066498255074,0.2604148323975037
2_ceo_profile_engineer,-0.17052639602142908,0.19102085319107304,-0.8927108908410962,0.37201201657253746,-0.5449203885720453,0.20386759652918715
2_ceo_profile_mixte,0.0274262225539606,0.18214933802441513,0.15056998203465563,0.8803149422437323,-0.32957991978170526,0.38443236488962645
2_ceo_profile_scientific,-0.10609700700793623,0.2178335822479165,-0.4870553287196424,0.626219122085418,-0.5330429828371962,0.32084896882132374
2_ceo_profile_university,-0.04740779814900781,0.4190859975080979,-0.11312188531923394,0.9099339243831701,-0.8688012596899224,0.7739856633919069
B2B/B2C_business;consumer,-0.35928856046242574,0.26956463407908887,-1.3328475439289722,0.18258183977619225,-0.8876255347631584,0.16904841383830693
B2B/B2C_consumer,0.345097930627571,0.1652228019028765,2.0886822318291824,0.036736337343219995,0.02126718947313716,0.6689286717820049
